LEI,Name
2138003K4HA4JNKW7342,BANCA DI CREDITO COOPERATIVO DI PERGOLA E CORINALDO - SOCIETA' COOPERATIVA
2138003KFKE6J3SQT654,TOR FX PTY LIMITED
2138003L16TYQQA1YN24,JTC (Jersey) Limited
2138003LXONKR247S255,REVOLUT BANK UK LTD
2138003MIFPEAP59X276,YUE XIU FUTURES COMPANY LIMITED
2138003MLD2U3GEMHS70,THE SEAPORT GROUP EUROPE LLP
2138003N17LZV91MMW15,COLUMBIA THREADNEEDLE AM (HOLDINGS) LIMITED
2138003N4C1X1IS7BN65,VINCI CONSTRUCTION GRANDS PROJETS
2138003NEBX5VRP3EX50,STHREE PLC
2138003NUK6SXCDIAT89,MARECHALE CAPITAL PLC
2138003O6LNVBPNZPP60,"EFG PRIVATE BANK LIMITED, JERSEY BRANCH"
2138003OH3SXO9J3ME75,GML CAPITAL LLP
2138003OYFB1WCAXKP17,CRANE INVESTMENT ANALYSIS LIMITED
2138003R8H9EWXIWMJ77,LIM ASIA SPECIAL SITUATIONS MASTER FUND LIMITED
2138003RL58W1AG82S71,恒生授信有限公司
2138003SR8NMDONGQQ76,ORANGE SCISSORS LTD
2138003UXX47G28CC919,NOMAD FOODS EUROPE LIMITED
2138003XB6XELS2WCJ37,UNITED SECURITIES CO.
2138003Z5T9GUQ2WTQ68,MBDA TREASURY COMPANY LIMITED
2138003Z5ZVN16GFYV70,BANCO FINANTIA S.A.
2138003ZKY8W9TE5EI86,BRANDON HILL CAPITAL LIMITED
21380041RFHPJWV7VH32,THE LINK ASSET AND SECURITIES COMPANY LIMITED
21380041YBGOQDFAC823,B.A.T. INTERNATIONAL FINANCE P.L.C.
21380043SQYWR6JY9Y11,S & T ASSET MANAGEMENT LLP
21380043Y95S8KQ3PA19,HRTEU LIMITED
21380043Z5PYHMM98708,RAMSEY CROOKALL & CO. LIMITED
21380044A6M8OU5BE124,TENAX CAPITAL LIMITED
21380044F9PCZ7L6F892,NIBANK LTD.
21380044UHMK3CJ55U06,"BANCO NACIONAL DE CREDITO, C.A. BANCO UNIVERSAL"
21380045XBJYPVI1FJ72,UNITING ETHICAL INVESTORS LIMITED
2138004624W8CKCSJ177,PETROFAC LIMITED
213800464ZNGK18E9N91,INNISFREE LIMITED
21380046BLMA7H864C55,PGIM FUND MANAGEMENT LIMITED
213800476OGH8UFXRK90,HEDGEFLOWS LTD
21380047DNBRQ54F9W43,BANK OF AFRICA
21380047EAR1ENO9TJ03,CSC EUROPE LIMITED
21380047O6HVRZLJG951,TICKMAKER LIMITED
213800499ZFMADCY7Q89,OCORIAN LIMITED
21380049H1IZKM8PL922,THE KANTAR GROUP LIMITED
21380049QLRWWUS8N676,EBURY MASS PAYMENTS LIMITED
2138004A38ZO2DEMSU28,ACG ADVISORS (UK) LLP
2138004B394AFP9NMZ67,WEALTHTIME LIMITED
2138004B6ZS1X5867V18,"Absa Bank Mocambique, SA"
2138004CCKDSH6RE1G26,HENSOLDT SENSORS GMBH
